"id","rating","comment","created_at","reviewer_id","listing_id"
1,5,"Thank you so much pooooo... All good conditon","2025-12-13 03:45:49.734134",6,5
2,4,"reliable tutor","2025-12-13 03:47:31.855988",4,7
3,5,"smooth transaction","2025-12-13 03:48:13.613641",6,8
4,5,NULL,"2025-12-13 04:21:59.085559",5,35
5,5,NULL,"2025-12-13 04:22:15.909301",5,32
6,3,"magaling mag alaga","2025-12-13 06:38:32.004739",4,35
7,5,"very nice","2025-12-13 06:39:24.384851",3,26
8,5,"very helpful","2025-12-13 06:40:08.209153",4,25
9,5,"grabe ang sarap naman pooo","2025-12-13 06:40:12.48503",3,24
10,1,"may putok po","2025-12-13 06:40:47.628989",3,10
11,5,"ang bait po nung may ariii","2025-12-13 06:41:31.086539",3,21
12,4,"makulit po yung aso and and cute","2025-12-13 06:42:27.89359",3,28
